title	description
C Kkompany	To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities.
Chopsticks	A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.
How to Sell Drugs Online (Fast)	To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers.
Killer Ratings	Brazilian TV personality and politician Wallace Souza faces accusations of masterminding the violent crimes he reported on and rallied against.
Koi Aap Sa	Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.
Krishna Cottage	True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
Mere Pyare Prime Minister	When his mother suffers a traumatic incident, a boy from the Mumbai slums treks to Delhi to deliver his written plea for justice to the Prime Minister.
My Next Guest Needs No Introduction With David Letterman	TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.
P	An orphan girl taught magic by her sick grandma must find work in seedy Bangkok, where unsavory characters run afoul of her increasingly dark powers.
Pegasus	After a five-year suspension, a once-legendary race car driver decides to get back in the game against a new generation of opponents.
Ragini MMS	A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
Ragini MMS 2	The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
Shor In the City	When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.
When They See Us	Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
My Week with Marilyn	While filming a movie in England, Hollywood icon Marilyn Monroe slips away with a young Brit for a week of self-discovery and frivolity.
Svaha: The Sixth Finger	A minister who researches religious cults turns to his Buddhist monk friend for help investigating a new group with mysterious origins.
The One I Love	Confronted with the potential end of their marriage, Ethan and Sophie take off for a weekend together, hoping to negotiate their future.
DC's Legends of Tomorrow	"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil."
Lifechanger	A shapeshifter has to kill, then inhabit his victims, or die. But as his need for new bodies speeds up, he finally faces down his own mortality.
The Nutcracker and the Four Realms	When her late mother gifts her a key, Clara embarks on a dreamlike journey full of fantasy and conflict in this retelling of the holiday classic.
After Porn Ends	"This documentary explores the careers of some of porn's top stars and examines their adjustment to ""normal"" society after leaving adult entertainment."
Charmed	After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.
Historical Roasts	"""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world."
Outlander	This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
Supergirl	To avert a disaster, Kara Danvers reveals her powers and true identity: She is Superman's cousin, now known as Supergirl, protector of National City.
Kiss The Series	After a night out, Sandee wakes to discover she and her buddy have either taken their platonic friendship to a whole new level or ruined it forever.
Rampant	When Prince Lee Cheong returns to Joseon after his brother’s death, he finds the kingdom plagued by deadly creatures – but they’re not the only threat.
Sotus The Series	When freshman engineering student Kongpob stands up to older bully Arthit, their confrontation soon leads to a deep attraction between the two boys.
Thackeray	From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.
After Maria	Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.
Hyper HardBoiled Gourmet Report	To live is to eat. For people around the world in precarious and dangerous circumstances, eating itself is dangerous, precarious – and essential.
Joy	Close to paying off her debts, a Nigerian sex worker in Austria coaches a reluctant novice, and assesses the risks of taking a faster path to freedom.
Rim of the World	Stranded at a summer camp when aliens attack the planet, four teens with nothing in common embark on a perilous mission to save the world.
She's Gotta Have It	Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.
The Perfection	In this twisty horror-thriller, a once-promising music prodigy reconnects with her former mentors, only to find them taken with a talented new pupil.
WHAT / IF	Desperate to secure funding for her med tech startup, an idealistic scientist and her husband strike an outrageous deal with a mysterious investor.
Riverdale	While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery.
